 トーセンデューク, レッドファルクス
 トーセンデューク, クラレント
 トーセンデューク, グランシルク
 トーセンデューク, ヒルノデイバロー
 トーセンデューク, トウショウドラフタ
 トーセンデューク, トーキングドラム
 トーセンデューク, ダッシングブレイズ
 トーセンデューク, サトノアラジン
 トーセンデューク, ロサギガンティア
 トーセンデューク, キャンベルジュニア
 トーセンデューク, ブラヴィッシモ
 トーセンデューク, ダンツプリウス
 トーセンデューク, シャイニングレイ
 トーセンデューク, セカンドテーブル
 トーセンデューク, アクティブミノル
 トーセンデューク, ティーハーフ
 トーセンデューク, スノードラゴン
 トーセンデューク, ナリタスターワン
 トーセンデューク, ラヴァーズポイント
 トーセンデューク, オメガヴェンデッタ
 トーセンデューク, メラグラーナ
 トーセンデューク, エイシンスパルタン
 トーセンデューク, メイソンジュニア
 トーセンデューク, アルティマブラッド
 トーセンデューク, タイムトリップ
 トーセンデューク, ラインスピリット
 トーセンデューク, アリンナ
 トーセンデューク, オウノミチ
 トーセンデューク, マルターズアポジー
 トーセンデューク, ウインガニオン
 トーセンデューク, ダノンリバティ
 トーセンデューク, ヤングマンパワー
 トーセンデューク, ダノンプラチナ
 トーセンデューク, ロードクエスト
 トーセンデューク, レッドレイヴン
 トーセンデューク, ショウナンバッハ
 トーセンデューク, ウキヨノカゼ
 トーセンデューク, メートルダール
 トーセンデューク, オールザゴー
 トーセンデューク, マイネルハニー
 トーセンデューク, ブラックムーン
 トーセンデューク, クラリティスカイ
 トーセンデューク, ガリバルディ
 トーセンデューク, アスカビレン
 トーセンデューク, ダイワリベラル
 トーセンデューク, ミッキージョイ
 トーセンデューク, ボンセルヴィーソ
 トーセンデューク, ブラックスピネル
 トーセンデューク, ウインフルブルーム
 トーセンデューク, マイネルアウラート
 トーセンデューク, サングレーザー
 トーセンデューク, レッツゴードンキ
 トーセンデューク, ビップライブリー
 トーセンデューク, ダノンメジャー
 トーセンデューク, トウショウピスト
 トーセンデューク, ムーンクレスト
 トーセンデューク, ベステンダンク
 トーセンデューク, ジューヌエコール
 トーセンデューク, セイウンコウセイ
 トーセンデューク, ミスエルテ
 トーセンデューク, カラクレナイ
 トーセンデューク, フミノムーン
